price,drivetrain,model,year,province,front_legroom(mm),battery_charge_time(hr),battery_range(km),mileage(km)
33990,All-Wheel Drive,Model 3,2021.0,ON,1085.0,10.0,568.0,72866
28480,Rear-Wheel Drive,Model 3,2021.0,ON,1085.0,10.0,430.0,69860
33998,Rear-Wheel Drive,Model 3,2022.0,BC,1085.0,10.0,430.0,69000
33480,All-Wheel Drive,Model 3,2020.0,ON,1085.0,10.0,518.0,48000
46999,All-Wheel Drive,Model S,2017.0,BC,1085.0,12.0,539.0,64255
28480,Rear-Wheel Drive,Model 3,2021.0,ON,1085.0,10.0,430.0,70000
52785,All-Wheel Drive,Model Y,2023.0,QC,1062.0,11.8,488.0,33350
45784,All-Wheel Drive,Model 3,2021.0,MB,1085.0,10.0,507.0,40000
41880,All-Wheel Drive,Model Y,2021.0,ON,1062.0,10.0,509.0,57000
39999,All-Wheel Drive,Model 3,2022.0,QC,1085.0,10.0,538.0,55234
54999,All-Wheel Drive,Model Y,2023.0,QC,1062.0,11.8,488.0,13681
33480,All-Wheel Drive,Model 3,2020.0,ON,1085.0,10.0,518.0,48300
45995,All-Wheel Drive,Model X,2016.0,ON,1046.0,12.0,402.0,109206
34979,All-Wheel Drive,Model S,2017.0,ON,1085.0,12.0,417.0,91345
35800,Rear-Wheel Drive,Model 3,2023.0,ON,1085.0,10.4,438.0,42627
32995,Rear-Wheel Drive,Model 3,2022.0,QC,1085.0,10.0,430.0,33242
45795,All-Wheel Drive,Model Y,2022.0,ON,1062.0,10.0,488.0,88351
36980,All-Wheel Drive,Model Y,2021.0,ON,1062.0,10.0,509.0,111800
27988,Rear-Wheel Drive,Model 3,2019.0,ON,1085.0,10.0,386.0,41000
25998,Rear-Wheel Drive,Model S,2014.0,BC,1085.0,12.0,407.0,144885
38910,All-Wheel Drive,Model Y,2020.0,ON,1062.0,10.0,509.0,67474
27990,All-Wheel Drive,Model 3,2019.0,ON,1085.0,10.0,499.0,88966
48888,All-Wheel Drive,Model Y,2020.0,BC,1062.0,10.0,507.0,39721
41999,All-Wheel Drive,Model 3,2023.0,QC,1085.0,11.5,576.0,27064
45682,unknown,Model 3,2024.0,BC,1085.0,10.0,430.0,30158
36995,Rear-Wheel Drive,Model 3,2023.0,QC,1085.0,10.4,438.0,20928
31480,Rear-Wheel Drive,Model 3,2021.0,ON,1085.0,10.0,430.0,33600
35800,Rear-Wheel Drive,Model 3,2023.0,ON,1085.0,10.4,438.0,25800
47500,All-Wheel Drive,Model 3,2023.0,BC,1085.0,11.5,576.0,20169
39998,All-Wheel Drive,Model Y,2021.0,BC,1062.0,10.0,509.0,107447
25880,Rear-Wheel Drive,Model 3,2021.0,ON,1085.0,10.0,430.0,104866
39695,Rear-Wheel Drive,Model Y,2023.0,QC,1064.0,9.4,418.0,38002
46707,All-Wheel Drive,Model 3,2023.0,BC,1085.0,11.5,576.0,27175
34880,All-Wheel Drive,Model Y,2021.0,ON,1062.0,10.0,509.0,125500
31995,Rear-Wheel Drive,Model 3,2021.0,BC,1085.0,10.0,430.0,72441
35995,All-Wheel Drive,Model Y,2021.0,ON,1062.0,10.0,509.0,118150
23990,All-Wheel Drive,Model 3,2020.0,ON,1085.0,10.0,354.0,91600
72990,All-Wheel Drive,Model S,2022.0,ON,1077.0,15.0,652.0,53384
49498,All-Wheel Drive,Model Y,2022.0,ON,1062.0,10.0,488.0,52500
21880,All-Wheel Drive,Model 3,2020.0,ON,1085.0,10.0,354.0,136962
27995,Rear-Wheel Drive,Model 3,2020.0,QC,1085.0,10.0,402.0,74765
33800,Rear-Wheel Drive,Model 3,2022.0,QC,1085.0,10.0,430.0,24257
44995,All-Wheel Drive,Model X,2016.0,ON,1046.0,12.0,414.0,64950
31795,Rear-Wheel Drive,Model 3,2021.0,BC,1085.0,10.0,430.0,79181
23790,Rear-Wheel Drive,Model 3,2020.0,ON,1085.0,10.0,402.0,111056
69995,All-Wheel Drive,Model X,2020.0,ON,1046.0,12.0,528.0,71000
28489,Rear-Wheel Drive,Model 3,2022.0,QC,1085.0,10.0,430.0,109000
34885,Rear-Wheel Drive,Model 3,2023.0,ON,1085.0,10.4,438.0,37800
59999,All-Wheel Drive,Model S,2021.0,QC,1085.0,12.0,629.0,52402
36980,All-Wheel Drive,Model Y,2021.0,ON,1063.0,10.0,509.0,113800
45898,All-Wheel Drive,Model Y,2022.0,ON,1062.0,10.0,531.0,44573
24890,All-Wheel Drive,Model 3,2020.0,ON,1085.0,10.0,354.0,88690
38800,All-Wheel Drive,Model 3,2021.0,ON,1085.0,10.0,507.0,73000
48499,All-Wheel Drive,Model Y,2021.0,BC,1062.0,10.0,509.0,29213
24890,All-Wheel Drive,Model 3,2020.0,ON,1085.0,10.0,354.0,77860
30800,Rear-Wheel Drive,Model 3,2020.0,BC,1085.0,10.0,402.0,64000
54988,All-Wheel Drive,Model Y,2023.0,ON,1062.0,11.8,488.0,21270
61995,All-Wheel Drive,Model X,2018.0,BC,1046.0,12.0,475.0,58000
37888,All-Wheel Drive,Model 3,2022.0,ON,1085.0,10.0,538.0,55569
51999,All-Wheel Drive,Model Y,2023.0,QC,1062.0,11.8,488.0,43076
22488,All-Wheel Drive,Model 3,2020.0,ON,1085.0,10.0,518.0,175200
29897,Rear-Wheel Drive,Model 3,2020.0,QC,1085.0,10.0,402.0,33265
42995,All-Wheel Drive,Model 3,2023.0,ON,1085.0,11.5,576.0,32696
47888,All-Wheel Drive,Model X,2016.0,ON,1046.0,12.0,414.0,79000
55537,All-Wheel Drive,Model Y,2023.0,BC,1062.0,11.5,531.0,5803
45400,All-Wheel Drive,Model Y,2021.0,ON,1062.0,10.0,509.0,33756
30880,All-Wheel Drive,Model 3,2020.0,ON,1085.0,10.0,518.0,81366
28998,Rear-Wheel Drive,Model 3,2020.0,BC,1085.0,10.0,402.0,94140
21880,Rear-Wheel Drive,Model 3,2021.0,ON,1085.0,10.0,430.0,157866
25988,Rear-Wheel Drive,Model 3,2019.0,ON,1085.0,10.0,386.0,75000
31995,Rear-Wheel Drive,Model 3,2023.0,ON,1085.0,10.4,438.0,67000
41912,Rear-Wheel Drive,Model Y,2021.0,BC,1062.0,10.0,393.0,55536
27888,Rear-Wheel Drive,Model 3,2021.0,ON,1085.0,10.0,430.0,79000
39800,All-Wheel Drive,Model X,2016.0,BC,1046.0,12.0,383.0,122000
42990,All-Wheel Drive,Model Y,2022.0,AB,1062.0,10.0,531.0,67786
41499,All-Wheel Drive,Model 3,2022.0,QC,1085.0,10.0,538.0,20236
41880,All-Wheel Drive,Model 3,2021.0,ON,1085.0,10.0,507.0,45600
31800,All-Wheel Drive,Model 3,2019.0,ON,1085.0,10.0,499.0,58000
37910,All-Wheel Drive,Model X,2016.0,ON,1046.0,12.0,383.0,138376
37500,Rear-Wheel Drive,Model 3,2023.0,ON,1085.0,10.4,438.0,20964
33295,Rear-Wheel Drive,Model 3,2023.0,QC,1085.0,10.4,438.0,57931
41888,All-Wheel Drive,Model 3,2020.0,BC,1085.0,10.0,481.0,71938
29800,Rear-Wheel Drive,Model 3,2020.0,BC,1085.0,10.0,402.0,93250
27989,Rear-Wheel Drive,Model 3,2022.0,QC,1085.0,10.0,430.0,101638
33888,Rear-Wheel Drive,Model 3,2020.0,BC,1085.0,10.0,402.0,51177
20990,All-Wheel Drive,Model 3,2020.0,ON,1085.0,10.0,354.0,153486
47995,Rear-Wheel Drive,Model Y,2024.0,QC,1062.0,9.4,418.0,12046
34950,Rear-Wheel Drive,Model 3,2022.0,QC,1085.0,10.0,430.0,11929
44988,All-Wheel Drive,Model 3,2022.0,ON,1085.0,10.0,507.0,46422
31888,Rear-Wheel Drive,Model 3,2020.0,BC,1085.0,10.0,402.0,67000
37888,Rear-Wheel Drive,Model 3,2022.0,BC,1085.0,10.0,430.0,28350
22888,All-Wheel Drive,Model S,2015.0,ON,1085.0,12.0,407.0,153501
39999,All-Wheel Drive,Model Y,2020.0,ON,1062.0,10.0,507.0,89785
36990,Rear-Wheel Drive,Model 3,2022.0,BC,1085.0,10.0,430.0,37791
24890,All-Wheel Drive,Model 3,2020.0,ON,1085.0,10.0,354.0,79886
27900,Rear-Wheel Drive,Model 3,2020.0,ON,1085.0,10.0,402.0,76512
43889,All-Wheel Drive,Model Y,2022.0,ON,1062.0,10.0,531.0,66800
45886,All-Wheel Drive,Model Y,2022.0,ON,1062.0,10.0,488.0,84866
