title,price,location,Mileage,Drivetrain,Exterior color,Interior color,Fuel Consumption,Fuel type,Battery charge time,Battery range,Make:,Model:,Year:,Trim:,Body type:,Exterior colour:,Interior colour:,Mileage:,Condition:,VIN:,Stock number:,Combined gas mileage:,City gas mileage:,Highway gas mileage:,Fuel type:,Battery capacity:,Battery charge time (240V):,Battery range:,Transmission:,Drivetrain:,NHTSA overall safety rating:,NHTSA frontal crash rating:,NHTSA side crash rating:,NHTSA rollover rating:,Doors:,Front legroom:,Back legroom:,Cargo volume:,Transmission,Dealer:,Backup camera,Battery charge time (120V):,Cabin size:,Bed length:,Safety rating,Alloy wheels,Bluetooth
2022 Tesla Model 3 Performance AWD,"$48,995","Cowansville, QC • Home delivery available","49,646",All-Wheel Drive,Silver,,2.09 L/100km,Electric,10 hr,507 km,Tesla,Model 3,2022.0,Performance AWD,Sedan,Silver,,"49,646 km",Used,5YJ3E1EC4NF331213,D0536,2.1 L/100km,2 L/100km,2.2 L/100km,Electric,82 kWh,10 hr,507 km,Automatic,All-Wheel Drive,,,,,4 doors,1085 mm,894 mm,648 L,Automatic,,,,,,,,
2022 Tesla Model 3 RWD,"$36,995","Magog, QC","39,727",Rear-Wheel Drive,White,,1.9 L/100km,Electric,10 hr,430 km,Tesla,Model 3,2022.0,RWD,Sedan,White,,"39,727 km",Used,5YJ3E1EA4NF307265,R1556,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,60 kWh,10 hr,430 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,648 L,Automatic,,,,,,,,
2022 Tesla Model 3 RWD,"$36,995","Magog, QC",,,,,,,,,Tesla,Model Y,2022.0,Long Range AWD,SUV / Crossover,Silver,,"47,752 km",Used,7SAYGDEE0NF387705,EF129,1.9 L/100km,1.9 L/100km,2 L/100km,Electric,75 kWh,10 hr,531 km,Automatic,All-Wheel Drive,,,,,4 doors,1062 mm,1029 mm,971 L,,,,,,,,,
2018 Tesla Model X 100D AWD,"$59,995","Milton, ON","114,784",All-Wheel Drive,White,Black,2.655 L/100km,Electric,12 hr,475 km,Tesla,Model X,2018.0,100D AWD,SUV / Crossover,White,Black,"114,784 km",Used,5YJXCBE26JF089359,D8600,2.7 L/100km,2.7 L/100km,2.6 L/100km,Electric,100 kWh,12 hr,475 km,Automatic,All-Wheel Drive,,,,,4 doors,1046 mm,975 mm,736 L,,,,,,,,,
2023 Tesla Model Y Performance AWD,"$58,619","Whitby, ON","18,018",All-Wheel Drive,Midnight Silver Metallic,,2.09 L/100km,Electric,11.8 hr,488 km,Tesla,Model Y,2023.0,Performance AWD,SUV / Crossover,Midnight Silver Metallic,,"18,018 km",Used,7SAYGDEF1PF756616,P756616,2.1 L/100km,2 L/100km,2.2 L/100km,Electric,81 kWh,11.8 hr,488 km,Automatic,All-Wheel Drive,,,,,4 doors,1062 mm,1029 mm,481 L,Automatic,Mercedes-Benz Durham,,,,,,,
2023 Tesla Model 3 RWD,"$37,890","Levis, QC • Home delivery available","58,887",Rear-Wheel Drive,Gray,,1.9 L/100km,Electric,10.4 hr,438 km,Tesla,Model 3,2023.0,RWD,Sedan,Gray,,"58,887 km",Used,LRW3E1FA2PC900375,241010MOD375,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,50 kWh,10.4 hr,438 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,648 L,Automatic,,,,,,,,
2018 Tesla Model S 100D AWD,"$49,995","Laval, QC • Home delivery available","139,771",All-Wheel Drive,Black,,2.3 L/100km,Electric,12 hr,539 km,Tesla,Model S,2018.0,100D AWD,Sedan,Black,,"139,771 km",Used,5YJSA1E28JF287631,2546,2.3 L/100km,2.3 L/100km,2.3 L/100km,Electric,100 kWh,12 hr,539 km,Automatic,All-Wheel Drive,,,,,4 doors,1085 mm,899 mm,744 L,Automatic,,,,,,,,
2017 Tesla Model S P100D AWD,"$58,900","Chilliwack, BC","89,600",All-Wheel Drive,White,Black,2.42 L/100km,Electric,12 hr,507 km,Tesla,Model S,2017.0,P100D AWD,Sedan,White,Black,"89,600 km",Used,5YJSA1E47HF227576,CFT418,2.4 L/100km,2.6 L/100km,2.2 L/100km,Electric,100 kWh,12 hr,507 km,Automatic,All-Wheel Drive,,,,,4 doors,1085 mm,899 mm,894 L,,,,,,,,,
2020 Tesla Model Y Long Range AWD,"$44,881","Langley, BC","86,000",All-Wheel Drive,Black,,1.99 L/100km,Electric,10 hr,509 km,Tesla,Model Y,2020.0,Long Range AWD,SUV / Crossover,Black,,"86,000 km",Used,5YJYGDEE2LF026227,026227,2 L/100km,1.9 L/100km,2.1 L/100km,Electric,75 kWh,10 hr,509 km,Automatic,All-Wheel Drive,,,,,4 doors,1062 mm,1029 mm,1925 L,Automatic,,,,,,,,
2023 Tesla Model Y,"$54,888","Smiths Falls, ON • Home delivery available","34,000",,Silver,Black,,,,,Tesla,Model Y,2023.0,,,Silver,Black,"34,000 km",Used,24224A,1-Speed Automatic,,,,,,,,,,,,,,,,,,1-Speed Automatic,,,,,,,,
